미디어타입,제목,장소명,장소타입,장소설명,주소,위도,경도,주소_지역명
movie,리틀포레스트,고운사,playground,리틀 포레스트에서 봤던 장면이 그대로 보이는 절,경상북도 의성군 단촌면 고운사길 415,36.458063,128.750255,경상
movie,리틀포레스트,의성 산수유 꽃피는 마을,playground,리틀포레스트에서 고향에 온 혜원이 자전거를 탄 곳,경상북도 의성군 사곡면 산수유2길 2,36.287005,128.770428,경상
movie,리틀포레스트,빙계계곡,playground,리틀 포레스트 촬영지이자 피서지로 좋은 계곡,경상북도 의성군 춘산면 빙계리 896,36.229264,128.758864,경상
movie,마더,매축지마을,playground,옛 70년대의 모습을 고이 간직한 오래된 마을,부산광역시 동구 좌천동,35.132098,129.055588,부산
movie,마더,신두리 해수욕장,playground,오프닝에서 김혜자가 춤을 추던 억새 만발한 곳,충청남도 태안군 원북면 신두해변길 201-54,36.845289,126.196708,충청
movie,마이 파더,김포국제공항,playground,제임스 박(다니엘 헤니)은 이곳에서 미국에 있는 양부모에게 가기 위한 비행기를 탄다.,서울특별시 강서구 하늘길 112,37.558655,126.79228,서울
movie,명량,고양아쿠아특수촬영스튜디오,playground,명량에서 이순신과 일본 적장의 대결이 펼쳐진 곳,경기도 고양시 덕양구 통일로396번길 250,37.674218,126.900457,경기
movie,명량,남양주 종합촬영소,playground,명량의 촬영지이자 한국을 대표하는 영상지원센터,경기도 남양주시 조안면 북한강로855번길 138,37.60466,127.320173,경기
movie,명량,발포항 공원,playground,명량에서 거북선에 불을 지르는 장면을 촬영한 곳,전라남도 고흥군 도화면 발포리 547-45,34.484151,127.339904,전라
movie,명량,광양항 해양공원,playground,명량의 촬영지이자 이순신대교가 보이는 곳,전라남도 광양시 중동 1894,34.92067,127.693677,전라
movie,명량,완도 수목원,playground,명량에서 왜구를 피해 피신하는 동백 숲 전경,전라남도 완도군 군외면 초평1길 156,34.360664,126.664426,전라
movie,명량,청해포구촬영장,playground,"명량 저잣거리, 선착장 전투 장면 촬영지",전라남도 완도군 완도읍 청해진서로 1161-8,34.324269,126.670664,전라
movie,명량,울돌목,playground,이순신이 명량대첩을 승리로 이끈 역사적 장소,전라남도 진도군 군내면 녹진리,34.572846,126.303312,전라
movie,명량,우수영국민관광지,playground,영화 명량 촬영지이자 명량대첩 기념지,전라남도 해남군 문내면 학동리 1021,34.572493,126.309503,전라
movie,명량,궁항 전라좌수영,playground,영화 명량과 KBS 드라마 이순신의 세트장,전라북도 부안군 변산면 궁항영상길 91,35.609973,126.465986,전라
movie,밀양,밀양남부교회,playground,밀양 영화 속 전도연이 다니던 교회,경상남도 밀양시 가곡 8길 20,35.47441,128.764994,경상
movie,밀양,길벗,restaurant,전도연이 송강호에게 속물이라 놀리는 장면,경상남도 밀양시 단장면 표충로 1166,35.529101,128.939597,경상
movie,밀양,기회송림공원야영장,playground,신도들의 집회 장소로 나온 곳,경상남도 밀양시 산외면 남기리 838-3,35.51112,128.774889,경상
movie,밀양,카페 밀양,cafe,"밀양 영화 세트장으로 송강호, 전도연방 있는 곳",경상남도 밀양시 중앙로 118-5,35.476561,128.765843,경상
movie,밀양,밀양역,station,전도연이 교회 신도들과 함께 노래 선교를 하던 곳,경상남도 밀양시 중앙로 62,35.47456,128.771186,경상
movie,반창꼬,횡성집,restaurant,한효주와 고수가 고기를 먹은 곳,경기도 구리시 안골로63번길 28-15,37.59892,127.139238,경기
movie,반창꼬,욕쟁이할머니포차,restaurant,"고수, 한효주가 술 마시러 간 곳",서울특별시 강남구 선릉로132길 3-3 지하1층,37.518196,127.041331,서울
movie,반창꼬,잠수교,playground,한효주가 자살소동을 벌이는 장면,서울특별시 서초구 반포동,37.514658,126.996412,서울
movie,반창꼬,모항해수욕장,playground,한효주와 고수가 바닷가 데이트 한 장소,전라북도 부안군 변산면 도청리 203-45,35.581607,126.507864,전라
movie,반창꼬,커피하룸,cafe,한효주가 고수를 기다리는 곳,전라북도 전주시 완산구 봉곡로 113,35.811255,127.106292,전라
movie,버닝,신륵사 국민관광지,playground,유아인이 전종서를 찾으러 간 오곡나루 축제장,경기도 여주군 여주읍 신륵사길 73,37.29756,127.66147,경기
movie,버닝,삼오곱창,restaurant,버닝의 주연들이 첫 술자리를 가진 곱창집,서울특별시 도봉구 도봉동 도봉로165길 4,37.677575,127.044645,서울
movie,버닝,찰리카페사진관,playground,스티븐 연이 전종서의 손금을 봐주던 카페,서울특별시 서초구 동광로49길 88,37.496646,127.000556,서울
movie,버닝,N서울타워,playground,전종서의 방 안에서 늘 바라보이던 상징적 건물,서울특별시 용산구 남산공원길 105,37.551168,126.98824,서울
movie,버닝,가나아트센터,playground,유아인이 스티븐 연을 미행한 미술 갤러리,서울특별시 종로구 평창30길 28,37.612202,126.975132,서울
movie,베테랑,아난티 클럽 서울,playground,영화 초반 유아인과 황정민이 처음 본 곳,경기도 가평군 설악면 유명로 961-34,37.619609,127.48216,경기
movie,베테랑,부산 신선대,playground,베테랑 초반 나온 항만의 부두,부산광역시 남구 용당동,35.109591,129.097843,부산
movie,베테랑,스테이트 타워 남산,playground,영화 후반 유아인이 마지막 파티를 한 곳,서울특별시 중구 퇴계로 100,37.560342,126.98297,서울
movie,변호인,대전 근현대사 전시관,playground,변호인 속 부산법원으로 나온 장소,대전광역시 중구 중앙로 101,36.3266855,127.420912,대전
movie,변호인,부산임랑해수욕장,playground,영화 변호인에서 송강호가 요트를 타는 곳,부산광역시 기장군 장안읍 임랑리,35.318509,129.264298,부산
movie,변호인,흰여울문화마을,playground,영화 변호인의 80년대 촬영 배경이 된 곳,부산광역시 영도구 영선동4가 605-3,35.078284,129.045318,부산
movie,변호인,보수동 책방 골목,playground,송강호가 헌책방에 팔았던 고시 책을 되찾는 곳,부산광역시 중구 대청로 67-1,35.10332,129.026803,부산
movie,변호인,군산 둔율동 성당,playground,영화 변호인의 촬영지이자 군산 최초의 성당,전라북도 군산시 둔배미길 24,35.981753,126.715621,전라
movie,변호인,군산 내항 철도,playground,변호인에서 진우와 친구들이 고문당한 곳,전라북도 군산시 장미동,35.990683,126.714771,전라
movie,변호인,전북외국어고등학교,playground,변호사 명함을 뿌리는 아파트 모델하우스 촬영지,전라북도 군산시 해망로 525,35.981502,126.684507,전라
movie,봄날은 간다,오죽헌,playground,"봄날은 간다에서 이영애, 유지태가 간 유적지",강원도 강릉시 율곡로3139번길 24,37.7775069,128.877159,강원
movie,봄날은 간다,삼본아파트 (봄날은 간다),playground,봄날은 간다에서 이영애가 살던 집,강원도 동해시 해맞이길 231,37.559275,129.115127,강원
movie,봄날은 간다,맹방해수욕장,playground,"봄날은 간다에서 이영애, 유지태가 간 바다",강원도 삼척시 근덕면 맹방해변로,37.38928,129.2341,강원
movie,봄날은 간다,신흥사,playground,"봄날은 간다에서 이영애, 유지태가 머문 절",강원도 삼척시 근덕면 양리길 220,37.323655,129.205213,강원
movie,봄날은 간다,오크밸리 리조트,stay,봄날은 간다에서 이영애가 놀러 갔던 리조트,강원도 원주시 지정면 오크밸리1길 66,37.434485,127.817496,강원
movie,봄날은 간다,유평2리 보호수마을,playground,"봄날은 간다에서 이영애, 유지태가 간 마을",강원도 정선군 남면 유평리 251,37.284861,128.750885,강원
movie,봄날은 간다,아우라지,playground,"봄날은 간다에서 이영애, 유지태가 간 강",강원도 정선군 여량면 아우라지길 69,37.475794,128.724173,강원
movie,부당거래,이응노미술관,playground,영화 부당거래 파티 장소로 나오는 곳,대전광역시 서구 둔산대로 157,36.366867,127.387037,대전
movie,부당거래,충남대학교 정심화홀,playground,부당거래에서 황정민이 상을 받는 곳,대전광역시 유성구 대학로 99 충남대학교,36.363441,127.346065,대전
movie,부당거래,광화문 광장,playground,부당거래가 시작할 때 펼쳐지는 서울 한복판,서울특별시 종로구 세종대로 175,37.574037,126.976772,서울
movie,신부수업,가실성당,playground,남여 두 주인공이 결혼식을 올리는 장소,경상북도 칠곡군 왜관읍 가실1길 1,35.9366,128.4053,경상
movie,써니,철도박물관,playground,MT 가는 기차의 배경이 되는 곳,경기도 의왕시 철도박물관로 142,37.316046,127.122293,경기
movie,써니,합천 영상 테마파크,playground,영화 속 길거리 등장 장면의 배경,경상남도 합천군 용주면 합천호수로 757,35.5489346,128.072475,경상
movie,써니,안동하회마을 만송정 숲,playground,나미의 첫사랑과 수지의 키스 장소,경상북도 안동시 풍천면 하회리 1164-1,36.540139,128.515143,경상
movie,써니,정동길,playground,주인공 두 나미의 위로와 만남의 장소,서울특별시 중구 정동 30-1,37.566626,126.97089,서울
movie,써니,제물포 시장,playground,극중 나이(심은경)가 빙의 한 곳,인천광역시 미추홀구 숭의동 27-58,37.463043,126.657309,인천
movie,아가씨,국민의숲길,playground,숙희가 물감과 이젤을 들고 올라오는 곳,강원도 평창군 대관령면 횡계리 14-362,37.681403,128.743108,강원
movie,아가씨,남양주 금선사,playground,영화 아가씨에서 스님이 돈을 건넬 때 나온 장소,경기도 남양주시 화도읍 북한강로 1095-208,37.615695,127.329724,경기
movie,아가씨,풍산개마을 입구,playground,영화 아가씨에서 저택을 향하는 길에 등장하는 장소,경기도 안성시 삼죽면 계곡길 89,37.087052,127.381356,경기
movie,아가씨,벽초지수목원,playground,백작과 숙희가 은밀한 거래를 두고 다투는 곳,경기도 파주시 광탄면 부흥로 242,37.800977,126.873712,경기
movie,아가씨,지노카페,cafe,영화 아가씨에서 백작과 히데코가 식사한 공간,경기도 파주시 탄현면 새오리로 211-31,37.800985,126.686346,경기
movie,아가씨,형도,playground,히데코와 숙희가 열심히 달리기 하는 갈대밭,경기도 화성시 송산면 독지리,37.274333,126.671683,경기
movie,아가씨,서대문형무소역사관,playground,영화 아가씨에서 정신병원 씬으로 나왔던 곳,서울특별시 서대문구 통일로 251,37.574692,126.95649,서울
movie,아가씨,문화역서울284,playground,숙희와 히데코의 탈출문이 되는 장소,서울특별시 중구 통일로 1 ,37.555944,126.971594,서울
movie,아가씨,소록도 중앙공원,playground,히데코의 이모가 목을 멘 나무가 있는 공원,전라남도 고흥군 도양읍 소록리 227,34.509985,127.121892,전라
movie,아가씨,변산반도 국립공원,playground,변태성욕자인 남작의 집으로 가는 길을 찍은 곳,전라북도 부안군 변산면,35.681146,126.531991,전라
