,식당이름,카테고리,별점,리뷰 수,웹사이트,주소,지역명,위도,경도
4041,더그레잇케이크,cafe,4.8,65,https://place.map.kakao.com/1171490764,울산 남구 왕생로72번길 19 1층(지번) 달동 1350-11,울산,35.5402361555976,129.333005064926
4042,오븐캐비넷,cafe,4.4,25,https://place.map.kakao.com/1247127733,울산 남구 대학로21번길 6-19 1층(지번) 무거동 577-12,울산,35.5390911109303,129.255417340712
4043,목구멍 울산삼산점,restaurant,4.0,292,https://place.map.kakao.com/38998753,울산 남구 달삼로 49-2 1층(지번) 달동 1261-16,울산,35.5363614752438,129.334654407102
4044,궁중삼계탕,restaurant,4.0,72,https://place.map.kakao.com/8215648,울산 중구 먹자거리 6(지번) 성남동 228-7,울산,35.554684538056,129.319865359399
4045,산너머남촌 동구점,restaurant,4.8,144,https://place.map.kakao.com/9809883,울산 동구 동해안로 596 2-3층(지번) 주전동 150-4,울산,35.55986713299732,129.4566750492196
4046,청학동 언양본점,restaurant,4.1,34,https://place.map.kakao.com/8539674,울산 울주군 언양읍 서문길 64(지번) 언양읍 서부리 170-10,울산,35.5663797454063,129.119569219939
4047,누마루,restaurant,4.4,355,https://place.map.kakao.com/13310631,울산 남구 대학로169번길 2(지번) 무거동 340-7,울산,35.5501870692117,129.262870754631
4048,투썸플레이스 울산송정점,cafe,3.6,13,https://place.map.kakao.com/2103892916,"울산 북구 박상진11로 1 인터메디타워 1-2층 104~105,201,201-1,202호(지번) 송정동 1235-4",울산,35.6003005616563,129.36381036785
4049,오보드나타,cafe,4.6,436,https://place.map.kakao.com/1744262625,울산 남구 왕생로 130 1층(지번) 달동 1315-7,울산,35.5448500123286,129.329073648746
4050,원조마포껍데기&갈비,restaurant,4.0,109,https://place.map.kakao.com/16726785,울산 남구 왕생로 30(지번) 달동 1265-15,울산,35.5362040743024,129.33230784903
4051,게이트42,cafe,4.1,122,https://place.map.kakao.com/1401200921,울산 울주군 청량읍 상보두현길 42(지번) 청량읍 문죽리 963-4,울산,35.5263253770646,129.250123653927
4052,대가가든,restaurant,4.8,35,https://place.map.kakao.com/364003044,울산 남구 남부순환도로293번길 36 1층(지번) 옥동 511-4,울산,35.5271425491336,129.27772841888
4053,함양집,restaurant,3.7,128,https://place.map.kakao.com/16318925,울산 남구 중앙로208번길 12(지번) 신정동 579-4,울산,35.5399179861454,129.314215763307
4054,모루식당 울산점,restaurant,4.1,32,https://place.map.kakao.com/315750173,울산 남구 문수로457번길 16 1층(지번) 신정동 1647-15,울산,35.5343247152294,129.303236077511
4055,오사카멘치 삼산,restaurant,4.2,238,https://place.map.kakao.com/252744155,울산 남구 왕생로72번길 19 1층(지번) 달동 1350-11,울산,35.5402361555976,129.333005064926
4056,앞산큰골집 달동점,restaurant,4.0,595,https://place.map.kakao.com/559348007,울산 남구 왕생로128번길 14 1층(지번) 달동 1318-4,울산,35.5448535654231,129.330264996558
4057,산내암소마을,restaurant,4.5,85,https://place.map.kakao.com/477841197,울산 동구 해수욕장2길 13(지번) 일산동 957-9,울산,35.4956955230923,129.429000264557
4058,이한,restaurant,4.1,38,https://place.map.kakao.com/1833427479,울산 남구 북부순환도로 42 1층(지번) 무거동 172-4,울산,35.552003158105,129.268249947134
4059,삼산능이백숙,restaurant,4.2,20,https://place.map.kakao.com/41324547,울산 남구 돋질로 420 1층(지번) 삼산동 191-7,울산,35.5430143836282,129.350683128288
4060,대왕암돌미역칼국수,restaurant,4.7,474,https://place.map.kakao.com/237946203,울산 동구 명덕6길 24 1층(지번) 서부동 113-17,울산,35.5238974533997,129.431813786276
4061,교동밀면,restaurant,3.7,23,https://place.map.kakao.com/25004740,울산 울주군 삼남읍 동향교2길 18-7 1층(지번) 삼남읍 교동리 1624-13,울산,35.5557748290223,129.116866054549
4062,까사레지나,restaurant,4.6,20,https://place.map.kakao.com/972935304,울산 남구 정동로 89 2층 201호(지번) 삼산동 1558-8,울산,35.5418749931944,129.343933192528
4063,착한참치,restaurant,4.0,49,https://place.map.kakao.com/27028690,울산 남구 신정로30번길 3-1(지번) 달동 128-12,울산,35.5348163860512,129.322847468178
4064,진미불고기,restaurant,3.8,224,https://place.map.kakao.com/8348459,울산 울주군 언양읍 동문길 47(지번) 언양읍 동부리 253-4,울산,35.5668755858789,129.125244961865
4065,아크로폴리스,cafe,4.3,4,https://place.map.kakao.com/1804801898,울산 북구 명촌로 19 1층(지번) 진장동 747-2,울산,35.558862517268,129.357230840654
4066,가향,restaurant,4.5,22,https://place.map.kakao.com/14497083,울산 북구 명촌로 15 1층(지번) 진장동 747-3,울산,35.5591647266739,129.357475117119
4067,교타쿠,restaurant,4.6,119,https://place.map.kakao.com/399430574,울산 남구 신정로20번길 3-14 1층(지번) 달동 132-1,울산,35.5344156385184,129.323004128838
4068,달동생아구,restaurant,4.6,118,https://place.map.kakao.com/529776911,울산 남구 번영로156번길 12 1층(지번) 달동 1356-4,울산,35.5393138677443,129.329201459093
4069,언양향토불고기,restaurant,4.3,28,https://place.map.kakao.com/9595201,울산 울주군 삼남읍 울산역로 356 1층(지번) 삼남읍 교동리 245-2,울산,35.5611586732723,129.122544906957
